Delay (Seconds) - Plot 0,g(2) - Plot 0
-12.2647n,51.2379
-12.1838n,15.4371
-12.1028n,56.9788
-12.0219n,11.6269
-11.9409n,53.7863
-11.8599n,12.9485
-11.779n,61.1373
-11.698n,13.829
-11.6171n,53.2571
-11.5361n,11.8769
-11.4552n,48.5628
-11.3742n,10.5168
-11.2933n,57.7148
-11.2123n,10.116
-11.1313n,53.5654
-11.0504n,13.4694
-10.9694n,43.5697
-10.8885n,11.1186
-10.8075n,58.3389
-10.7266n,14.5615
-10.6456n,47.8318
-10.5647n,12.6206
-10.4837n,46.4349
-10.4028n,11.8841
-10.3218n,50.2713
-10.2408n,15.2612
-10.1599n,48.2006
-10.0789n,10.5908
-9.99798n,55.5185
-9.91702n,11.0657
-9.83607n,54.9408
-9.75511n,9.89524
-9.67416n,42.4121
-9.5932n,14.7925
-9.51224n,55.7624
-9.43129n,8.68429
-9.35033n,56.4758
-9.26938n,12.1336
-9.18842n,61.7289
-9.10747n,11.3068
-9.02651n,49.719
-8.94556n,11.0976
-8.8646n,57.9649
-8.78365n,13.4138
-8.70269n,54.3083
-8.62174n,11.0561
-8.54078n,54.9618
-8.45983n,9.25837
-8.37887n,58.6492
-8.29792n,7.99289
-8.21696n,67.2697
-8.136n,11.5827
-8.05505n,57.4583
-7.97409n,16.1337
-7.89314n,67.3497
-7.81218n,10.6034
-7.73123n,51.1224
-7.65027n,9.38716
-7.56932n,49.2168
-7.48836n,12.5139
-7.40741n,65.7807
-7.32645n,11.8173
-7.2455n,56.7963
-7.16454n,13.0512
-7.08359n,58.6218
-7.00263n,15.6486
-6.92168n,68.8483
-6.84072n,12.6302
-6.75977n,82.731
-6.67881n,22.7314
-6.59785n,91.1235
-6.5169n,20.3793
-6.43594n,81.357
-6.35499n,20.1067
-6.27403n,82.1465
-6.19308n,19.9312
-6.11212n,74.748
-6.03117n,17.2743
-5.95021n,100.637
-5.86926n,23.8909
-5.7883n,98.3213
-5.70735n,25.1828
-5.62639n,101.047
-5.54544n,25.5509
-5.46448n,91.4767
-5.38353n,22.3775
-5.30257n,93.3422
-5.22162n,22.8678
-5.14066n,119.103
-5.0597n,25.0909
-4.97875n,98.9008
-4.89779n,26.5257
-4.81684n,97.593
-4.73588n,27.1578
-4.65493n,110.583
-4.57397n,26.6221
-4.49302n,105.212
-4.41206n,23.8278
-4.33111n,97.8444
-4.25015n,23.1928
-4.1692n,102.093
-4.08824n,29.4485
-4.00729n,113.437
-3.92633n,23.8868
-3.84538n,93.7826
-3.76442n,23.5566
-3.68346n,111.674
-3.60251n,21.5215
-3.52155n,95.6675
-3.4406n,23.6662
-3.35964n,123.766
-3.27869n,23.9481
-3.19773n,94.5683
-3.11678n,28.2396
-3.03582n,98.8325
-2.95487n,22.8749
-2.87391n,105.779
-2.79296n,22.6597
-2.712n,96.8391
-2.63105n,18.6193
-2.55009n,100.233
-2.46914n,19.0482
-2.38818n,97.0785
-2.30723n,11.9112
-2.22627n,65.6842
-2.14531n,12.0462
-2.06436n,66.6654
-1.9834n,14.2689
-1.90245n,53.9593
-1.82149n,10.4329
-1.74054n,53.6529
-1.65958n,10.3293
-1.57863n,37.8019
-1.49767n,10.0645
-1.41672n,30.3968
-1.33576n,4.46884
-1.25481n,23.9358
-1.17385n,4.64833
-1.0929n,15.1471
-1.01194n,2.69061
